,year,team,week_1,win_pct_1,home_team_1,opp_1,opp_win_pct_1,result_1,pf_1,pa_1,yds_1,opp_yds_1,tnf
33,2013,Philadelphia Eagles,4,0.3333333333333333,False,Denver Broncos,1.0,0,20,52,450,472,0
34,2013,Dallas Cowboys,13,0.5454545454545454,True,Oakland Raiders,0.36363636363636365,1,31,24,352,305,1
35,2013,Dallas Cowboys,14,0.5833333333333334,False,Chicago Bears,0.5,0,28,45,328,490,0
36,2013,New York Giants,6,0.0,False,Chicago Bears,0.6,0,21,27,355,372,1
37,2013,New York Giants,7,0.0,True,Minnesota Vikings,0.2,1,23,7,257,206,0
38,2013,Washington Redskins,10,0.375,False,Minnesota Vikings,0.125,0,27,34,433,307,1
39,2013,Washington Redskins,11,0.3333333333333333,False,Philadelphia Eagles,0.5,0,16,24,427,402,0
40,2013,Green Bay Packers,13,0.45454545454545453,False,Detroit Lions,0.5454545454545454,0,10,40,126,561,1
41,2013,Green Bay Packers,14,0.45454545454545453,True,Atlanta Falcons,0.25,1,22,21,334,285,0
42,2013,Chicago Bears,6,0.6,True,New York Giants,0.0,1,27,21,372,355,1
43,2013,Chicago Bears,7,0.6666666666666666,False,Washington Redskins,0.2,0,41,45,359,499,0
44,2013,Detroit Lions,13,0.5454545454545454,True,Green Bay Packers,0.45454545454545453,1,40,10,561,126,1
45,2013,Detroit Lions,14,0.5833333333333334,False,Philadelphia Eagles,0.5833333333333334,0,20,34,231,478,0
46,2013,Minnesota Vikings,10,0.125,True,Washington Redskins,0.375,1,34,27,307,433,1
47,2013,Minnesota Vikings,11,0.2222222222222222,False,Seattle Seahawks,0.9,0,20,41,336,323,0
48,2013,Carolina Panthers,8,0.5,False,Tampa Bay Buccaneers,0.0,1,31,13,324,297,1
49,2013,Carolina Panthers,9,0.5714285714285714,True,Atlanta Falcons,0.2857142857142857,1,34,10,373,289,0
50,2013,New Orleans Saints,12,0.8,False,Atlanta Falcons,0.2,1,17,13,374,355,1
51,2013,New Orleans Saints,13,0.8181818181818182,False,Seattle Seahawks,0.9090909090909091,0,7,34,188,429,0
52,2013,Atlanta Falcons,12,0.2,True,New Orleans Saints,0.8,0,13,17,355,374,1
53,2013,Atlanta Falcons,13,0.18181818181818182,False,Buffalo Bills,0.36363636363636365,1,34,31,423,405,0
54,2013,Tampa Bay Buccaneers,8,0.0,True,Carolina Panthers,0.5,0,13,31,297,324,1
55,2013,Tampa Bay Buccaneers,9,0.0,False,Seattle Seahawks,0.875,0,24,27,350,415,0
56,2013,Seattle Seahawks,7,0.8333333333333334,False,Arizona Cardinals,0.5,1,34,22,344,234,1
57,2013,Seattle Seahawks,8,0.8571428571428571,False,St. Louis Rams,0.42857142857142855,1,14,9,135,339,0
58,2013,San Francisco 49ers,4,0.3333333333333333,False,St. Louis Rams,0.3333333333333333,1,35,11,370,188,1
59,2013,San Francisco 49ers,5,0.5,True,Houston Texans,0.5,1,34,3,284,313,0
60,2013,Arizona Cardinals,7,0.5,True,Seattle Seahawks,0.8333333333333334,0,22,34,234,344,1
61,2013,Arizona Cardinals,8,0.42857142857142855,True,Atlanta Falcons,0.3333333333333333,1,27,13,348,292,0
62,2013,St. Louis Rams,4,0.3333333333333333,True,San Francisco 49ers,0.3333333333333333,0,11,35,188,370,1
63,2013,St. Louis Rams,5,0.25,True,Jacksonville Jaguars,0.0,1,34,20,351,363,0
