,year,team,week_1,win_pct_1,home_team_1,opp_1,opp_win_pct_1,result_1,pf_1,pa_1,yds_1,opp_yds_1,tnf
0,2013,New England Patriots,2,1.0,True,New York Jets,1.0,1,13,10,232,318,1
1,2013,New England Patriots,3,1.0,True,Tampa Bay Buccaneers,0.0,1,23,3,358,323,0
2,2013,New York Jets,2,1.0,False,New England Patriots,1.0,0,10,13,318,232,1
3,2013,New York Jets,3,0.5,True,Buffalo Bills,0.5,1,27,20,513,328,0
4,2013,Miami Dolphins,9,0.42857142857142855,True,Cincinnati Bengals,0.75,1,22,20,345,465,1
5,2013,Miami Dolphins,10,0.5,False,Tampa Bay Buccaneers,0.0,0,19,22,213,264,0
6,2013,Buffalo Bills,5,0.5,False,Cleveland Browns,0.5,0,24,37,343,290,1
7,2013,Buffalo Bills,6,0.4,True,Cincinnati Bengals,0.6,0,24,27,322,483,0
8,2013,Cincinnati Bengals,9,0.75,False,Miami Dolphins,0.42857142857142855,0,20,22,465,345,1
9,2013,Cincinnati Bengals,10,0.6666666666666666,False,Baltimore Ravens,0.375,0,17,20,364,189,0
10,2013,Pittsburgh Steelers,13,0.45454545454545453,False,Baltimore Ravens,0.45454545454545453,0,20,22,329,311,1
11,2013,Pittsburgh Steelers,14,0.4166666666666667,True,Miami Dolphins,0.5,0,28,34,412,367,0
12,2013,Baltimore Ravens,13,0.45454545454545453,True,Pittsburgh Steelers,0.45454545454545453,1,22,20,311,329,1
13,2013,Baltimore Ravens,14,0.5,True,Minnesota Vikings,0.25,1,29,26,325,379,0
14,2013,Cleveland Browns,5,0.5,True,Buffalo Bills,0.5,1,37,24,290,343,1
15,2013,Cleveland Browns,6,0.6,True,Detroit Lions,0.6,0,17,31,395,366,0
16,2013,Indianapolis Colts,11,0.6666666666666666,False,Tennessee Titans,0.4444444444444444,1,30,27,366,340,1
17,2013,Indianapolis Colts,12,0.7,False,Arizona Cardinals,0.6,0,11,40,239,410,0
18,2013,Tennessee Titans,11,0.4444444444444444,True,Indianapolis Colts,0.6666666666666666,0,27,30,340,366,1
19,2013,Tennessee Titans,12,0.4,False,Oakland Raiders,0.4,1,23,19,426,353,0
20,2013,Jacksonville Jaguars,14,0.25,True,Houston Texans,0.16666666666666666,1,27,20,281,406,1
21,2013,Jacksonville Jaguars,15,0.3076923076923077,True,Buffalo Bills,0.3076923076923077,0,20,27,354,366,0
22,2013,Houston Texans,14,0.16666666666666666,False,Jacksonville Jaguars,0.25,0,20,27,406,281,1
23,2013,Houston Texans,15,0.15384615384615385,False,Indianapolis Colts,0.6153846153846154,0,3,25,239,331,0
24,2013,Denver Broncos,15,0.8461538461538461,True,San Diego Chargers,0.46153846153846156,0,20,27,295,337,1
25,2013,Denver Broncos,16,0.7857142857142857,False,Houston Texans,0.14285714285714285,1,37,13,511,240,0
26,2013,Kansas City Chiefs,3,1.0,False,Philadelphia Eagles,0.5,1,26,16,394,431,1
27,2013,Kansas City Chiefs,4,1.0,True,New York Giants,0.0,1,31,7,390,298,0
28,2013,San Diego Chargers,15,0.46153846153846156,False,Denver Broncos,0.8461538461538461,1,27,20,337,295,1
29,2013,San Diego Chargers,16,0.5,True,Oakland Raiders,0.2857142857142857,1,26,13,344,265,0
30,2013,Oakland Raiders,13,0.36363636363636365,False,Dallas Cowboys,0.5454545454545454,0,24,31,305,352,1
31,2013,Oakland Raiders,14,0.3333333333333333,False,New York Jets,0.4166666666666667,0,27,37,383,352,0
32,2013,Philadelphia Eagles,3,0.5,True,Kansas City Chiefs,1.0,0,16,26,431,394,1
