,year,team,week_1,win_pct_1,home_team_1,opp_1,opp_win_pct_1,result_1,pf_1,pa_1,yds_1,opp_yds_1,tnf
0,2016,New England Patriots,3,1.0,True,Houston Texans,1.0,1,27,0,282,284,1
1,2016,New England Patriots,4,1.0,True,Buffalo Bills,0.3333333333333333,0,0,16,277,378,0
2,2016,Miami Dolphins,4,0.3333333333333333,False,Cincinnati Bengals,0.3333333333333333,0,7,22,222,362,1
3,2016,Miami Dolphins,5,0.25,True,Tennessee Titans,0.25,0,17,30,200,398,0
4,2016,Buffalo Bills,2,0.0,True,New York Jets,0.0,0,31,37,393,493,1
5,2016,Buffalo Bills,3,0.0,True,Arizona Cardinals,0.5,1,33,18,297,348,0
6,2016,New York Jets,2,0.0,False,Buffalo Bills,0.0,1,37,31,493,393,1
7,2016,New York Jets,3,0.5,False,Kansas City Chiefs,0.5,0,3,24,305,293,0
8,2016,Pittsburgh Steelers,12,0.5,False,Indianapolis Colts,0.5,1,28,7,369,310,1
9,2016,Pittsburgh Steelers,13,0.5454545454545454,True,New York Giants,0.7272727272727273,1,24,14,389,234,0
10,2016,Baltimore Ravens,10,0.5,True,Cleveland Browns,0.0,1,28,7,396,144,1
11,2016,Baltimore Ravens,11,0.5555555555555556,False,Dallas Cowboys,0.8888888888888888,0,17,27,368,417,0
12,2016,Cincinnati Bengals,4,0.3333333333333333,True,Miami Dolphins,0.3333333333333333,1,22,7,362,222,1
13,2016,Cincinnati Bengals,5,0.5,False,Dallas Cowboys,0.75,0,14,28,345,402,0
14,2016,Cleveland Browns,10,0.0,False,Baltimore Ravens,0.5,0,7,28,144,396,1
15,2016,Cleveland Browns,11,0.0,True,Pittsburgh Steelers,0.4444444444444444,0,9,24,209,313,0
16,2016,Houston Texans,3,1.0,False,New England Patriots,1.0,0,0,27,284,282,1
17,2016,Houston Texans,4,0.6666666666666666,True,Tennessee Titans,0.3333333333333333,1,27,20,359,320,0
18,2016,Tennessee Titans,8,0.42857142857142855,True,Jacksonville Jaguars,0.3333333333333333,1,36,22,494,370,1
19,2016,Tennessee Titans,9,0.5,False,San Diego Chargers,0.375,0,35,43,393,476,0
20,2016,Indianapolis Colts,12,0.5,True,Pittsburgh Steelers,0.5,0,7,28,310,369,1
21,2016,Indianapolis Colts,13,0.45454545454545453,False,New York Jets,0.2727272727272727,1,41,10,421,250,0
22,2016,Jacksonville Jaguars,8,0.3333333333333333,False,Tennessee Titans,0.42857142857142855,0,22,36,370,494,1
23,2016,Jacksonville Jaguars,9,0.2857142857142857,False,Kansas City Chiefs,0.7142857142857143,0,14,19,449,231,0
24,2016,Kansas City Chiefs,14,0.75,True,Oakland Raiders,0.8333333333333334,1,21,13,323,244,1
25,2016,Kansas City Chiefs,15,0.7692307692307693,True,Tennessee Titans,0.5384615384615384,0,17,19,316,389,0
26,2016,Oakland Raiders,14,0.8333333333333334,False,Kansas City Chiefs,0.75,0,13,21,244,323,1
27,2016,Oakland Raiders,15,0.7692307692307693,False,San Diego Chargers,0.38461538461538464,1,19,16,345,263,0
28,2016,Denver Broncos,6,0.8,False,San Diego Chargers,0.2,0,13,21,304,265,1
29,2016,Denver Broncos,7,0.6666666666666666,True,Houston Texans,0.6666666666666666,1,27,9,347,271,0
30,2016,San Diego Chargers,6,0.2,True,Denver Broncos,0.8,1,21,13,265,304,1
31,2016,San Diego Chargers,7,0.3333333333333333,False,Atlanta Falcons,0.6666666666666666,1,33,30,426,386,0
32,2016,Washington Redskins,12,0.6,False,Dallas Cowboys,0.9,0,26,31,505,353,1
33,2016,Washington Redskins,13,0.6,False,Arizona Cardinals,0.36363636363636365,0,23,31,333,369,0
34,2016,Green Bay Packers,7,0.6,True,Chicago Bears,0.16666666666666666,1,26,10,406,189,1
35,2016,Green Bay Packers,8,0.6666666666666666,False,Atlanta Falcons,0.5714285714285714,0,32,33,331,367,0
36,2016,Detroit Lions,12,0.6,True,Minnesota Vikings,0.6,1,16,13,308,306,1
37,2016,Detroit Lions,13,0.6363636363636364,False,New Orleans Saints,0.45454545454545453,1,28,13,422,369,0
38,2016,Chicago Bears,7,0.16666666666666666,False,Green Bay Packers,0.6,0,10,26,189,406,1
39,2016,Chicago Bears,8,0.14285714285714285,True,Minnesota Vikings,0.8333333333333334,1,20,10,403,258,0
