,year,team,week_1,win_pct_1,home_team_1,opp_1,opp_win_pct_1,result_1,pf_1,pa_1,yds_1,opp_yds_1,tnf
0,2012,New England Patriots,12,0.7,False,New York Jets,0.4,1,49,19,475,405,1
1,2012,New England Patriots,13,0.7272727272727273,False,Miami Dolphins,0.45454545454545453,1,23,16,321,277,0
2,2012,Miami Dolphins,11,0.4444444444444444,False,Buffalo Bills,0.3333333333333333,0,14,19,184,281,1
3,2012,Miami Dolphins,12,0.4,True,Seattle Seahawks,0.6,1,24,21,435,312,0
4,2012,New York Jets,12,0.4,True,New England Patriots,0.7,0,19,49,405,475,1
5,2012,New York Jets,13,0.36363636363636365,True,Arizona Cardinals,0.36363636363636365,1,7,6,289,137,0
6,2012,Buffalo Bills,11,0.3333333333333333,True,Miami Dolphins,0.4444444444444444,1,19,14,281,184,1
7,2012,Buffalo Bills,12,0.4,False,Indianapolis Colts,0.6,0,13,20,304,312,0
8,2012,Baltimore Ravens,4,0.6666666666666666,True,Cleveland Browns,0.0,1,23,16,438,357,1
9,2012,Baltimore Ravens,5,0.75,False,Kansas City Chiefs,0.25,1,9,6,298,338,0
10,2012,Cincinnati Bengals,15,0.5384615384615384,False,Philadelphia Eagles,0.3076923076923077,1,34,13,249,219,1
11,2012,Cincinnati Bengals,16,0.5714285714285714,False,Pittsburgh Steelers,0.5,1,13,10,267,280,0
12,2012,Pittsburgh Steelers,6,0.5,False,Tennessee Titans,0.2,0,23,26,412,359,1
13,2012,Pittsburgh Steelers,7,0.4,False,Cincinnati Bengals,0.5,1,24,17,431,185,0
14,2012,Cleveland Browns,4,0.0,False,Baltimore Ravens,0.6666666666666666,0,16,23,357,438,1
15,2012,Cleveland Browns,5,0.0,False,New York Giants,0.5,0,27,41,375,502,0
16,2012,Houston Texans,12,0.9,False,Detroit Lions,0.4,1,34,31,501,525,1
17,2012,Houston Texans,13,0.9090909090909091,False,Tennessee Titans,0.36363636363636365,1,24,10,331,354,0
18,2012,Indianapolis Colts,10,0.625,False,Jacksonville Jaguars,0.125,1,27,10,359,337,1
19,2012,Indianapolis Colts,11,0.6666666666666666,False,New England Patriots,0.6666666666666666,0,24,59,448,446,0
20,2012,Tennessee Titans,6,0.2,True,Pittsburgh Steelers,0.5,1,26,23,359,412,1
21,2012,Tennessee Titans,7,0.3333333333333333,False,Buffalo Bills,0.5,1,35,34,390,382,0
22,2012,Jacksonville Jaguars,10,0.125,True,Indianapolis Colts,0.625,0,10,27,337,359,1
23,2012,Jacksonville Jaguars,11,0.1111111111111111,False,Houston Texans,0.8888888888888888,0,37,43,458,653,0
24,2012,Denver Broncos,14,0.75,False,Oakland Raiders,0.25,1,26,13,428,324,1
25,2012,Denver Broncos,15,0.7692307692307693,False,Baltimore Ravens,0.6923076923076923,1,34,17,350,278,0
26,2012,San Diego Chargers,9,0.42857142857142855,True,Kansas City Chiefs,0.14285714285714285,1,31,13,339,289,1
27,2012,San Diego Chargers,10,0.5,False,Tampa Bay Buccaneers,0.5,0,24,34,426,279,0
28,2012,Oakland Raiders,14,0.25,True,Denver Broncos,0.75,0,13,26,324,428,1
29,2012,Oakland Raiders,15,0.23076923076923078,True,Kansas City Chiefs,0.15384615384615385,1,15,0,385,119,0
30,2012,Kansas City Chiefs,9,0.14285714285714285,False,San Diego Chargers,0.42857142857142855,0,13,31,289,339,1
31,2012,Kansas City Chiefs,10,0.125,False,Pittsburgh Steelers,0.625,0,13,16,290,249,0
32,2012,Washington Redskins,12,0.4,False,Dallas Cowboys,0.5,1,38,31,437,458,1
33,2012,Washington Redskins,13,0.45454545454545453,True,New York Giants,0.6363636363636364,1,17,16,370,390,0
34,2012,New York Giants,3,0.5,False,Carolina Panthers,0.5,1,36,7,405,327,1
35,2012,New York Giants,4,0.6666666666666666,False,Philadelphia Eagles,0.6666666666666666,0,17,19,366,422,0
36,2012,Dallas Cowboys,12,0.5,True,Washington Redskins,0.4,0,31,38,458,437,1
37,2012,Dallas Cowboys,13,0.45454545454545453,True,Philadelphia Eagles,0.2727272727272727,1,38,33,417,423,0
38,2012,Philadelphia Eagles,15,0.3076923076923077,True,Cincinnati Bengals,0.5384615384615384,0,13,34,219,249,1
39,2012,Philadelphia Eagles,16,0.2857142857142857,True,Washington Redskins,0.5714285714285714,0,20,27,411,313,0
40,2012,Green Bay Packers,2,0.0,True,Chicago Bears,1.0,1,23,10,321,168,1
41,2012,Green Bay Packers,3,0.5,False,Seattle Seahawks,0.5,0,12,14,268,238,0
