,year,team,week,post_bye,win_pct,home_team,opp,opp_win_pct,result,pf,pa,yds,opp_yds
0,2016,New England Patriots,8,0,0.8571428571428571,0,Buffalo Bills,0.5714285714285714,1,41,25,357,376
1,2016,New England Patriots,10,1,0.875,1,Seattle Seahawks,0.625,0,24,31,385,420
2,2016,Miami Dolphins,7,0,0.3333333333333333,1,Buffalo Bills,0.6666666666666666,1,28,25,454,267
3,2016,Miami Dolphins,9,1,0.42857142857142855,1,New York Jets,0.375,1,27,23,274,331
4,2016,Buffalo Bills,9,0,0.5,0,Seattle Seahawks,0.5714285714285714,0,25,31,425,278
5,2016,Buffalo Bills,11,1,0.4444444444444444,0,Cincinnati Bengals,0.3333333333333333,1,16,12,342,300
6,2016,New York Jets,10,0,0.3333333333333333,1,Los Angeles Rams,0.375,0,6,9,296,280
7,2016,New York Jets,12,1,0.3,1,New England Patriots,0.8,0,17,22,333,377
8,2016,Pittsburgh Steelers,7,0,0.6666666666666666,1,New England Patriots,0.8333333333333334,0,16,27,375,362
9,2016,Pittsburgh Steelers,9,1,0.5714285714285714,0,Baltimore Ravens,0.42857142857142855,0,14,21,277,274
10,2016,Baltimore Ravens,7,0,0.5,0,New York Jets,0.16666666666666666,0,16,24,245,344
11,2016,Baltimore Ravens,9,1,0.42857142857142855,1,Pittsburgh Steelers,0.5714285714285714,1,21,14,274,277
12,2016,Cincinnati Bengals,8,0,0.42857142857142855,1,Washington Redskins,0.5714285714285714,0,27,27,415,546
13,2016,Cincinnati Bengals,10,1,0.42857142857142855,0,New York Giants,0.625,0,20,21,264,351
14,2016,Cleveland Browns,12,0,0.0,1,New York Giants,0.7,0,13,27,343,296
15,2016,Cleveland Browns,14,1,0.0,1,Cincinnati Bengals,0.3333333333333333,0,10,23,254,360
16,2016,Houston Texans,8,0,0.5714285714285714,1,Detroit Lions,0.5714285714285714,1,20,13,269,289
17,2016,Houston Texans,10,1,0.625,0,Jacksonville Jaguars,0.25,1,24,21,273,327
18,2016,Tennessee Titans,12,0,0.45454545454545453,0,Chicago Bears,0.2,1,27,21,375,411
19,2016,Tennessee Titans,14,1,0.5,1,Denver Broncos,0.6666666666666666,1,13,10,253,348
20,2016,Indianapolis Colts,9,0,0.375,0,Green Bay Packers,0.5714285714285714,1,31,26,355,405
21,2016,Indianapolis Colts,11,1,0.4444444444444444,1,Tennessee Titans,0.5,1,24,17,327,351
22,2016,Jacksonville Jaguars,4,0,0.0,1,Indianapolis Colts,0.3333333333333333,1,30,27,331,284
23,2016,Jacksonville Jaguars,6,1,0.25,0,Chicago Bears,0.2,1,17,16,317,389
24,2016,Kansas City Chiefs,4,0,0.6666666666666666,0,Pittsburgh Steelers,0.6666666666666666,0,14,43,357,436
25,2016,Kansas City Chiefs,6,1,0.5,0,Oakland Raiders,0.8,1,26,10,406,285
26,2016,Oakland Raiders,9,0,0.75,1,Denver Broncos,0.75,1,30,20,397,299
